STT,Mã Đơn Hàng,ID cửa hàng,Tên cửa hàng,Thời gian hoàn thành/ huỷ đơn,Giá trị đơn hàng,Khuyến mại từ quán,Phí dịch vụ,Phí vận chuyển trả cho quán,Chiết khấu,Thuế khấu trừ,Thực thu
1496,10125-398620003,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:24,"29,000","5,000",0,0,"5,892",0,"18,108"
1497,10125-399324078,10321523,Cà Phê Muối Chú Long - Thanh Nhàn,10/12/2025 11:36,"69,000","11,000",0,0,"14,239",0,"43,761"
1498,10125-399460484,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 11:30,"87,000","15,000",0,0,"17,676",0,"54,324"
1499,10125-399649143,10354891,Cà Phê Muối Chú Long - Trà Vinh,10/12/2025 11:16,"44,000","10,000",0,0,"8,347",0,"25,653"
1500,10125-399782848,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 12:01,"29,000","5,000",0,0,"5,892",0,"18,108"
1501,10125-400334545,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:31,"29,000","5,000",0,0,"5,892",0,"18,108"
1502,10125-400365630,10284115,Cà Phê Muối Chú Long - Kha Vạn Cân,10/12/2025 11:19,"110,000","20,000",0,0,"22,095",0,"67,905"
1503,10125-400508786,10298769,Cà Phê Muối Chú Long - Tôn Đức Thắng,10/12/2025 11:34,"22,000","6,600",0,0,"3,781",0,"11,619"
1504,10125-400763254,10230793,Cà Phê Muối Chú Long - Huỳnh Văn Bánh,10/12/2025 11:31,"83,000","15,000",0,0,"16,694",0,"51,306"
1505,10125-401251995,10296675,Cà Phê Muối Chú Long - Trương Định,10/12/2025 11:33,"87,000","15,000",0,0,"17,676",0,"54,324"
1506,10125-401647148,10225888,Cà Phê Muối Chú Long - Lạc Long Quân,10/12/2025 11:23,"58,000",0,0,0,"14,239",0,"43,761"
1507,10125-401660795,10230171,Cà Phê Muối Chú Long - Bình Long,10/12/2025 11:35,"47,000","5,000",0,0,"10,311",0,"31,689"
1508,10125-401845547,10287867,Cà Phê Muối Chú Long - Classic,10/12/2025 11:24,"61,000","11,000",0,0,"12,275",0,"37,725"
1509,10125-401997850,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 11:47,"150,000","26,000",0,0,"30,442",0,"93,558"
1510,10125-402152090,10307386,Cà Phê Muối Chú Long - Kiên Giang,10/12/2025 11:18,"29,000","7,250",0,0,"5,340",0,"16,410"
1511,10125-402776736,10225902,Cà Phê Muối Chú Long - Hậu Giang,10/12/2025 11:20,"95,000","15,000",0,0,"19,640",0,"60,360"
1512,10125-403215182,10321524,Cà Phê Muối Chú Long - Đội Cấn,10/12/2025 12:00,"125,000","20,000",0,0,"25,778",0,"79,223"
